Transcript	logFC	AveExpr	t	P.Value	adj.P.Val	B	associated.gene
PB.3.2281	0.754153874629423	0.886173728745751	0.640736379445205	0.521722761927908	0.784079854513132	-4.77197478638718	NA
PB.3.2311	0.754153874629423	0.886173728745751	0.640736379445205	0.521722761927908	0.784079854513132	-4.77197478638718	NA
PB.3.2479	0.754153874629423	0.886173728745751	0.640736379445205	0.521722761927908	0.784079854513132	-4.77197478638718	NA
PB.3.3015	0.754153874629423	0.886173728745751	0.640736379445205	0.521722761927908	0.784079854513132	-4.77197478638718	NA
PB.3.808	0.754153874629423	0.886173728745751	0.640736379445205	0.521722761927908	0.784079854513132	-4.77197478638718	NA
PB.3.822	0.754153874629423	0.886173728745751	0.640736379445205	0.521722761927908	0.784079854513132	-4.77197478638718	NA
PB.3.880	0.754153874629423	0.886173728745751	0.640736379445205	0.521722761927908	0.784079854513132	-4.77197478638718	NA
PB.3.902	0.754153874629423	0.886173728745751	0.640736379445205	0.521722761927908	0.784079854513132	-4.77197478638718	NA
PB.3.1472	0.52421585417306	2.19625231107918	0.63648925740807	0.524486145259902	0.784079854513132	-4.91360586484253	NA
PB.3.98	0.52421585417306	2.19625231107918	0.63648925740807	0.524486145259902	0.784079854513132	-4.91360586484253	NA
PB.3.863	0.754997432487141	0.834561009378894	0.631830293936677	0.527526095876777	0.784079854513132	-4.76964784847617	NA
PB.3.1330	0.623379117244829	1.58801245926015	0.629032350852881	0.529356050039172	0.784079854513132	-4.83522361787146	NA
PB.3.2450	0.623379117244829	1.58801245926015	0.629032350852881	0.529356050039172	0.784079854513132	-4.83522361787146	NA
PB.3.2967	0.623379117244829	1.58801245926015	0.629032350852881	0.529356050039172	0.784079854513132	-4.83522361787146	NA
PB.2.121	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.127	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.173	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.183	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.187	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.188	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.189	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.216	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.255	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.319	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.326	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.331	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.338	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.343	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.366	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.411	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.414	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.468	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.494	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.495	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.515	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
PB.2.538	0.812972745991528	0.0936924783851727	0.628972516954846	0.529395218773684	0.784079854513132	-4.74786155474151	NA
